"mean","sdev","low95","up95","brdg","nonbrdg"
0.143425169511429,0.0820569810844176,0.00829448286995235,0.305678113212274,"3","171"
0.09999712446936,0.0723909020739244,0.00346750510139103,0.255400537301131,"4","171"
0.144072813399272,0.0820441836915423,0.00812934080832027,0.30669556864933,"6","171"
0.0968134552821767,0.0704616776289788,0.00339350584765854,0.249655524227294,"7","171"
0.142681029309374,0.0818741326842708,0.00833443158448226,0.30357376529465,"8","171"
0.118243122016605,0.078828212649727,0.00481339632826859,0.281062930217938,"12","171"
0.143877221136976,0.0814207377561844,0.00854654497044304,0.304453810105746,"13","171"
0.242011168619169,0.0753536262528143,0.108333324677255,0.411562265306203,"14","171"
0.140603353249766,0.0823516188964089,0.00781070497092129,0.30652196304783,"3","173"
0.0981487977821618,0.0718034397040156,0.00348212585964098,0.254530473768351,"4","173"
0.14204241002368,0.0820740948697516,0.00837610340732512,0.304880071008441,"6","173"
0.0963622488660717,0.0703698741125831,0.00348262679292699,0.248525458450962,"7","173"
0.142686099758146,0.0823219245110901,0.00793212459656509,0.30675592117048,"8","173"
0.114118529773342,0.0781540891128149,0.00471467648114082,0.278135984138788,"12","173"
0.141075369912406,0.0821182771869449,0.00734038286036851,0.305274143758777,"13","173"
0.112380838841778,0.0797292501863914,0.00384672650133476,0.281048036479867,"14","173"
0.143224916786517,0.0819752377772981,0.00841282538976488,0.304473508649771,"3","201"
0.0983448585295412,0.0719154213358946,0.00339128430143652,0.254127298264876,"4","201"
0.142680853186111,0.0819484463990929,0.00836721708230308,0.303392804330794,"6","201"
0.0974168849700284,0.070953600657137,0.00340931185573157,0.251191654649522,"7","201"
0.144005534861924,0.0824044092609819,0.00849203484766466,0.308074248779232,"8","201"
0.117868851917507,0.0790466376416223,0.00494464815439727,0.281831255341686,"12","201"
0.143326106786706,0.0824292937442034,0.00835100719606562,0.308566204317746,"13","201"
0.178938875403931,0.0791345716023365,0.0341128361980684,0.338053071855649,"14","201"
0.142471311825098,0.0824816300930275,0.00761875685159549,0.307266408398209,"3","202"
0.0975327447466856,0.0717729398690507,0.00340953308566163,0.255465725939833,"4","202"
0.142381621194249,0.0817878560581339,0.00778962513181535,0.304018214178339,"6","202"
0.195379496682844,0.0690107230257044,0.0648454872562934,0.336765228603411,"7","202"
0.14253370489621,0.0819853705412741,0.00820293691069393,0.306083755357606,"8","202"
0.116741547870035,0.0782186396046581,0.00489377901954552,0.277898176336781,"12","202"
0.141504733570632,0.0820785375549537,0.00821335638917973,0.305265924845925,"13","202"
0.115102480981526,0.0798960530568632,0.00422711017877255,0.2828060635965,"14","202"
0.143824465104819,0.0823719801482907,0.00847117919525683,0.308326445247297,"3","203"
0.245625140559731,0.0694388324371341,0.123343041932132,0.403084032079618,"4","203"
0.14297255761819,0.0817556754258206,0.00855301243186709,0.306109866885483,"6","203"
0.2211037686542,0.0670016064568106,0.0962836054739859,0.363929665498655,"7","203"
0.142858551670416,0.0821008694559116,0.00832695490375476,0.305563604914883,"8","203"
0.238112418547343,0.0727239589376437,0.109217763995426,0.402562753984678,"12","203"
0.144577715029382,0.0821268295041947,0.00876227040363268,0.304462857824303,"13","203"
0.119465184902641,0.0810994110748678,0.00447516653301648,0.286908382050169,"14","203"
0.143611775558793,0.0828548424343725,0.00768023599824205,0.307140255370969,"3","204"
0.159967571996278,0.0738204272049891,0.029149107265436,0.307551686602403,"4","204"
0.142735832078481,0.0817369499555238,0.00807026347558983,0.304394131473703,"6","204"
0.195908304911049,0.0685990938738934,0.0653386538691176,0.334839461451913,"7","204"
0.143030803217372,0.0826124054227877,0.00789445353430845,0.306983911622325,"8","204"
0.178522230307573,0.0769477642209955,0.0365841941990186,0.33334181827634,"12","204"
0.143194371252679,0.0821588638602792,0.00764395086894269,0.304888958157517,"13","204"
0.117165492083115,0.0804240250696022,0.00444219254811791,0.285253906984913,"14","204"
0.142839007963578,0.0823506314314137,0.00806555279378325,0.307586594634005,"3","211"
0.200383761916243,0.0710618192459561,0.0657389762895786,0.34584141831426,"4","211"
0.143113912500017,0.0821702805666912,0.00811328430263432,0.306378299743348,"6","211"
0.0970158406336299,0.0706721851568884,0.00337745143490742,0.249275012145993,"7","211"
0.142204276286558,0.082214640380266,0.00786785809949483,0.30431873152282,"8","211"
0.116393299567596,0.0783083450221688,0.00477920087458108,0.27913278652016,"12","211"
0.142444482311219,0.0813063793251882,0.00844094043047668,0.302297176658706,"13","211"
0.11493595916784,0.0796758930430361,0.00421699129051523,0.281744145520638,"14","211"
