"MCR_Code","mean_lcv"
3,0.00695582056045532
4,0.10133610534668
5,0.116010223388672
6,0.0937252044677734
7,0.0433531723022461
8,0.0897181854248047
9,0.230305160522461
10,0.212310394287109
11,0.241610015869141
12,0.0652307052612305
13,0.236182678222656
14,0.470504425048828
15,0.361482208251953
16,0.370708190917969
18,0.369397125244141
20,0.506370697021484
22,0.269856506347656
24,0.603958129882812
28,0.579077392578125
31,0.554654479980469
33,0.346291229248047
122,0.398514434814453
133,0.392263641357422
134,0.3510458984375
135,0.386088806152344
136,0.509307739257812
141,0.201854019165039
142,0.501537902832031
143,0.401422393798828
144,0.485388153076172
145,0.484095092773437
146,0.517542785644531
151,0.393906372070312
152,0.354142883300781
153,0.477996368408203
155,0.226075454711914
156,0.453579223632813
157,0.468744720458984
161,0.378418334960938
162,0.460815338134766
163,0.546964111328125
171,0.413272369384766
172,0.463713256835938
173,0.378174224853516
181,0.192393905639648
182,0.227119369506836
183,0.254526382446289
184,0.354892395019531
191,0.464250213623047
192,0.287548431396484
193,0.102558746337891
194,0.151511840820312
201,0.336870208740234
202,0.232216522216797
203,0.119706604003906
204,0.168044723510742
205,0.260145233154297
211,0.0853826675415039
212,0.42296044921875
213,0.446064483642578
214,0.438659118652344
221,0.386952941894531
222,0.450102813720703
231,0.545583435058594
232,0.146882141113281
241,0.323372406005859
242,0.135290908813477
