MCR_Code,meantempchange_exex
3,4.101583004
4,2.960515976
5,2.267370939
6,3.050558805
7,3.371238232
8,3.19463706
9,2.510640621
10,2.527168989
11,2.836290359
12,3.165893078
13,2.960758924
14,2.727394342
15,2.054312468
16,2.516167641
18,2.519158125
20,2.12048173
22,2.730927706
24,2.172344685
28,2.380508184
31,1.661496043
33,2.149901152
122,1.928192496
133,1.899420738
134,1.878375173
135,1.888881445
136,1.923071146
141,1.777675152
142,1.632054687
143,1.966949821
144,1.906556726
145,1.813972712
146,1.541464567
151,1.843036771
152,1.683630824
153,1.736095548
155,1.81730938
156,1.853569269
157,1.686937571
161,1.451714993
162,1.568941593
163,1.306771517
171,1.776775479
172,1.742714405
173,1.871668339
181,2.04809761
182,2.162903547
183,2.023122311
184,1.963770032
191,1.586775899
192,1.363360763
193,1.161385655
194,0.951166928
201,2.065982103
202,2.124801397
203,2.057185888
204,2.083878517
205,2.233788252
211,2.111274958
212,2.130230427
213,1.720688581
214,1.829918623
221,1.736843586
222,1.821082354
231,1.483517885
232,1.346218467
241,1.45441699
242,1.333928704
